Temperature (K), B_2V
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
100,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
101,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
102,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
103,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
104,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
105,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
106,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
107,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
108,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
109,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
110,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
111,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
112,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
113,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
114,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
115,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
116,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
117,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
118,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
119,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
120,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
121,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
122,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
123,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
124,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
125,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
126,49383598972523193460326400
127,49383598972523193460326400
127,49383598972523193460326400
127,49383598972523193460326400
127,49383598972523193460326400
127,49383598972523193460326400
