Temperature (K), B_2V
121,-114687480674606269807460352
121,-114541548551974991341551616
121,-114395887390697725141975040
121,-114250496446799033604767744
121,-114105374979007057959583744
121,-113960522248741475181395968
121,-113815937520101334643113984
122,-113671620059852791688986624
122,-113527569137417459683295232
122,-113383784024860143583756288
122,-113240263996877088910999552
122,-113097008330784179178438656
122,-112954016306505133322141696
122,-112811287206560012368347136
122,-112668820316053262244511744
122,-112526614922662357885779968
122,-112384670316626395801845760
122,-112242985790734360226299904
123,-112101560640313956201660416
123,-111960394163220408304664576
123,-111819485659824812694962176
123,-111678834433003227898183680
123,-111538439788125576610447360
123,-111398301033044358524305408
123,-111258417478083775471550464
123,-111118788436028736306937856
123,-110979413222113793072431104
123,-110840291154012867435429888
123,-110701421551827482478379008
123,-110562803738076901453856768
124,-110424437037687115488428032
124,-110286320777980157704011776
124,-110148454288663657857417216
124,-110010836901820328260403200
124,-109873467951897466879606784
124,-109736346775696477616340992
124,-109599472712362699824037888
124,-109462845103375134746476544
124,-109326463292535828358627328
124,-109190326625960284999647232
124,-109054434452066833033854976
125,-108918786121566815145426944
125,-108783380987454417855840256
125,-108648218404996861818568704
125,-108513297731724368775479296
125,-108378618327420214412574720
125,-108244179554111210712465408
125,-108109980776057552651681792
125,-107976021359743334912884736
125,-107842300673867017057468416
125,-107708818089331304582610944
125,-107575572979234266928906240
125,-107442564718859304436760576
126,-107309792685665768137818112
126,-107177256259279802884685824
126,-107044954821484743804059648
126,-106912887756211753268019200
126,-106781054449530732743229440
126,-106649454289641114381058048
126,-106518086666862343370047488
126,-106386950973625236461715456
126,-106256046604462498682765312
126,-106125372955999858522587136
126,-105994929426947151581151232
127,-105864715418089180878602240
127,-105734730332276920762236928
127,-105604973574418789532958720
127,-105475444551471561294479360
127,-105346142672431982177157120
127,-105217067348327527568375808
127,-105088217992208327574028288
127,-104959594019137992968372224
127,-104831194846185506295775232
127,-104703019892416339878346752
127,-104575068578884089219645440
128,-104447340328622054868779008
128,-104319834566634635305943040
128,-104192550719889286763642880
128,-104065488217307881752494080
128,-103938646489758600162967552
128,-103812024970047717287919616
128,-103685623092911185686691840
128,-103559440295006646545940480
128,-103433476014905389500858368
128,-103307729693083968859013120
128,-103182200771916713177382912
128,-103056888695666980708941824
129,-102931792910479806418649088
129,-102806912864373758725455872
129,-102682248007233174201434112
129,-102557797790799997133914112
129,-102433561668666460901212160
129,-102309539096266910354898944
129,-102185729530870448835788800
129,-102062132431572829275684864
129,-101938747259289238652321792
129,-101815573476746429609279488
129,-101692610548475247212888064
130,-101569857940803018270179328
130,-101447315121846181165006848
130,-101324981561502761075343360
130,-101202856731444931089924096
130,-101080940105111727943712768
130,-100959231157701613134544896
130,-100837729366165171478724608
130,-100716434209197947105574912
130,-100595345167232901494865920
130,-100474461722433713327833088
130,-100353783358687322423951360
130,-100233309561596576756924416
131,-100113039818473635384918016
131,-99992973618332512387334144
131,-99873110451882222097006592
131,-99753449811519804073312256
131,-99633991191323313715544064
131,-99514734087044950315237376
131,-99395677996104167928627200
131,-99276822417580614450413568
131,-99158166852207775062163456
131,-99039710802365584888561664
131,-98921453772074295784112128
132,-98803395266987312327688192
132,-98685534794384663472242688
132,-98567871863166353935433728
132,-98450405983845732770119680
132,-98333136668542861934854144
132,-98216063430978125382549504
132,-98099185786465374292672512
132,-97982503251905862577422336
132,-97866015345781323394449408
132,-97749721588147973372510208
132,-97633621500629795282616320
132,-97517714606412404824735744
133,-97402000430236487917764608
133,-97286478498391736205705216
133,-97171148338710301527506944
133,-97056009480560697063505920
133,-96941061454841750021472256
133,-96826303793976004566843392
133,-96711736031904035286024192
133,-96597357704078004735442944
133,-96483168347455564587991040
133,-96369167500493911398285312
133,-96255354703143928267276288
134,-96141729496843725211435008
134,-96028291424512935446183936
134,-95915040030546788331028480
134,-95801974860810165134819328
134,-95689095462631500182192128
134,-95576401384797283295428608
134,-95463892177545875041550336
134,-95351567392561991994310656
134,-95239426582970745319587840
134,-95127469303331662180909056
134,-95015695109633445879349248
135,-94904103559288169057746944
135,-94792694211125243566620672
135,-94681466625386077524852736
135,-94570420363718320063512576
135,-94459554989170569926148096
135,-94348870066186293795094528
135,-94238365160598723870326784
135,-94128039839625154152890368
135,-94017893671861545965977600
135,-93907926227276944497442816
135,-93798137077208101500747776
135,-93688525794354201075122176
136,-93579091952771087229517824
136,-93469835127866453519237120
136,-93360754896394208048840704
136,-93251850836448924374401024
136,-93143122527460996780392448
136,-93034569550191280160505856
136,-92926191486725609639378944
136,-92817987920469818410532864
136,-92709958436144618135355392
136,-92602102619780204464177152
136,-92494420058711154615123968
137,-92386910341571565471137792
137,-92279573058289762180268032
137,-92172407800083144194916352
137,-92065414159453392088334336
137,-91958591730181296413999104
137,-91851940107321724003942400
137,-91745458887198876324855808
137,-91639147667400946538774528
137,-91533006046775704276697088
137,-91427033625425204238876672
137,-91321230004700958651580416
137,-91215594787199229982932992
138,-91110127576756083140591616
138,-91004827978442661007720448
138,-90899695598560391259488256
138,-90794730044635935481528320
138,-90689930925416945742249984
138,-90585297850866944991821824
138,-90480830432160860296183808
138,-90376528281680075034722304
138,-90272391013008185472581632
138,-90168418240925915519385600
138,-90064609581406735862595584
139,-89960964651612380021653504
139,-89857483069887896545656832
139,-89754164455757663283707904
139,-89651008429920267783897088
139,-89548014614244435664306176
139,-89445182631764134350290944
139,-89342512106674587344830464
139,-89240002664327498224893952
139,-89137653931226532335845376
139,-89035465535023434141007872
139,-88933437104512976340123648
139,-88831568269628974139703296
140,-88729858661439955925991424
140,-88628307912144730858717184
140,-88526915655068042364190720
140,-88425681524656324707614720
140,-88324605156473528284872704
140,-88223686187196721576017920
140,-88122924254611985156538368
140,-88022318997610099550191616
140,-87921870056182353340923904
140,-87821577071416574623088640
140,-87721439685492595515981824
141,-87621457541678506952359936
141,-87521630284326483970228224
141,-87421957558868318946852864
141,-87322439011811624847671296
141,-87223074290736072834940928
141,-87123863044288667803713536
141,-87024804922180278048260096
141,-86925899575181374654513152
141,-86827146655118234748977152
141,-86728545814868577811955712
141,-86630096708358198423191552
142,-86531798990556602575093760
142,-86433652317473056302825472
142,-86335656346152977911775232
142,-86237810734673952247906304
142,-86140115142141762147975168
142,-86042569228686591688441856
142,-85945172655459246614249472
142,-85847925084627288868257792
142,-85750826179371222660284416
142,-85653875603880852334837760
142,-85557073023351313821335552
142,-85460418103979552760922112
143,-85363910512960338776817664
143,-85267549918482829500481536
143,-85171335989726670741307392
143,-85075268396858251275141120
143,-84979346811027558928220160
143,-84883570904363713811185664
143,-84787940349972099280928768
143,-84692454821930221592117248
143,-84597113995284394182443008
143,-84501917546045975281270784
143,-84406865151188189633839104
144,-84311956488641919433310208
144,-84217191237292869642354688
144,-84122569076977410464808960
144,-84028089688479502149091328
144,-83933752753527293374103552
144,-83839557954789135519580160
144,-83745504975870559009112064
144,-83651593501310648357748736
144,-83557823216578777996853248
144,-83464193808071004501573632
